# Sxx,Syy,Sxy,Smises,Exx,Eyy,Exy,Ux,Uy
3.933529695289715633e+00,2.516796661051445838e+00,-1.677808368809411213e-02,3.450778376805814673e+00,1.160474053102212577e-01,4.521075359830778462e-02,-8.389041844047056065e-04,4.345071666207026007e-02,1.223203429494664190e-03
4.478834530027893557e+00,6.047691508464744237e-01,-8.844121929662405179e-01,4.479240817245817574e+00,1.603966804904650711e-01,-3.330658846860587441e-02,-4.422060964831202312e-02,1.591633460805727887e-02,1.873652123180798157e-02
4.459000165786638270e+00,6.972848675148730635e-01,-1.008712374957218660e+00,4.506905511687222976e+00,1.584964453730630107e-01,-2.958931954052523849e-02,-5.043561874786092747e-02,1.758245700693927133e-02,1.793157186194992495e-02
4.462906152825476980e+00,6.800241148671060110e-01,-9.416650910345536474e-01,4.472726210091282795e+00,1.588586792951165449e-01,-3.028542260280198128e-02,-4.708325455172768237e-02,1.674884185806638920e-02,1.825930686198528469e-02
4.493194484549603018e+00,5.357309191424979300e-01,-8.858044464362124781e-01,4.519138151749398702e+00,1.617981566813289085e-01,-3.607502158902636813e-02,-4.429022232181062391e-02,1.578769727432685621e-02,1.900499462208444026e-02
4.475853555142222717e+00,6.177152624382906687e-01,-9.456625086785488410e-01,4.509198030696707882e+00,1.601230675373546963e-01,-3.278384709784187834e-02,-4.728312543392744483e-02,1.667410307691679500e-02,1.848039528376156301e-02
4.465399587659280911e+00,6.694927414944253918e-01,-8.772229712859265227e-01,4.439259152226465943e+00,1.590838252685427001e-01,-3.071151703970005642e-02,-4.386114856429632752e-02,1.595801449427875635e-02,1.851862438090472532e-02
3.973033983600520624e+00,2.156059128667330960e+00,-2.242150685295540846e-02,3.445141794500712784e+00,1.220380352766778920e-01,3.118929253001841151e-02,-1.121075342647770423e-03,7.259553761035610064e-02,5.595428629033015293e-03
3.978363933087036841e+00,2.152390032554718502e+00,-1.643138873871491379e-02,3.449345087474517069e+00,1.222837720838299003e-01,3.098507705721398331e-02,-8.215694369357456894e-04,7.431681768720460601e-02,4.914581865144740901e-03
3.975235854078128739e+00,2.150523415127409521e+00,-2.072734463483105749e-02,3.446694378409164816e+00,1.221898018388372087e-01,3.095417989130124642e-02,-1.036367231741552875e-03,7.400517528358249719e-02,5.537147414337488874e-03
3.973637057271062645e+00,2.164273851663155224e+00,-2.006833945795954977e-02,3.446018311559735370e+00,1.219579665018754033e-01,3.148980622148003783e-02,-1.003416972897977488e-03,7.129049481830136703e-02,5.031497334783439912e-03
3.975913490586109766e+00,2.158096861158068425e+00,-1.840491116153558648e-02,3.447590454906095392e+00,1.221205451325032554e-01,3.122971366110119384e-02,-9.202455580767793242e-04,7.282583835814789019e-02,4.999448089920188569e-03
3.972182337906719152e+00,2.148015520734953387e+00,-2.505403445265508289e-02,3.444093059690826575e+00,1.221066436623150508e-01,3.089830280372676818e-02,-1.252701722632754144e-03,7.382090075466669898e-02,6.183216281664172947e-03
3.366894897572225709e+00,3.641596111296503402e+00,-1.115099244747075780e+00,4.008325223814947158e+00,8.073860726775217156e-02,9.447366795396605621e-02,-5.575496223735379453e-02,2.950157241224634491e-02,5.701404770996259218e-03
3.444733861008522080e+00,3.355519643099802440e+00,-1.167392773884605717e+00,3.956671451876712098e+00,8.723352424907204750e-02,8.277281335363606551e-02,-5.836963869423028584e-02,2.926128128107915310e-02,6.673594539514899476e-03
3.394901210034865890e+00,3.474025761201905205e+00,-1.248503600949691927e+00,4.059127822543541875e+00,8.388347336128365583e-02,8.783970091963561044e-02,-6.242518004748459637e-02,2.915686803964960550e-02,6.484096542221673767e-03
3.384611177853031005e+00,3.715252081221822156e+00,-8.810063440312322358e-01,3.874599806985939310e+00,8.048226815421588576e-02,9.701431332265544882e-02,-4.405031720156161318e-02,2.998926913305361569e-02,5.109125445622168457e-03
3.413097384942445522e+00,3.536431696845231620e+00,-1.031549612515626491e+00,3.908667412081256565e+00,8.378575572477631184e-02,8.995247131991562783e-02,-5.157748062578132453e-02,2.962469223349831551e-02,5.893031988001192975e-03
3.345548453687907653e+00,3.581281845021990762e+00,-1.346753340296559465e+00,4.180688442042002961e+00,8.069204395052165246e-02,9.247871351722580791e-02,-6.733766701482797601e-02,2.902383472567780093e-02,6.358430260149197308e-03
3.997518730949087384e+00,2.103554899398703881e+00,-1.984363124406668399e-03,3.463540229337329190e+00,1.236125161681069784e-01,2.891432459058779908e-02,-9.921815622033341997e-05,9.066033191756585341e-02,2.137157379626926455e-03
3.998843630113014136e+00,2.099758452201950565e+00,-1.012246316056536477e-03,3.464553838267351971e+00,1.237096554767136425e-01,2.875539658116046948e-02,-5.061231580282682385e-05,9.232378409563260502e-02,1.415157264902276116e-03
3.998103156504227318e+00,2.100339890766431239e+00,-1.610819136852459366e-03,3.463941215437074117e+00,1.236746197343281395e-01,2.878645644743832790e-02,-8.054095684262296828e-05,9.197908144057841129e-02,1.917263308916622531e-03
3.997589011800667613e+00,2.106660287122169350e+00,-1.814153630310989807e-03,3.463695040079432186e+00,1.235763343534979075e-01,2.902989811957301311e-02,-9.070768151554949033e-05,8.949099489408297858e-02,1.884400807588436279e-03
3.998197415442109381e+00,2.103150515150312039e+00,-1.431126763676016100e-03,3.464104480617856474e+00,1.236430216397002013e-01,2.889067662511032863e-02,-7.155633818380080502e-05,9.092590242018863678e-02,1.666203960726209306e-03
3.997386660981802287e+00,2.100626565991345007e+00,-2.199909078534623141e-03,3.463340871376348051e+00,1.236441677119257676e-01,2.880616296240291752e-02,-1.099954539267311571e-04,9.175327760318868764e-02,2.421866984017371875e-03
4.360073817298312449e+00,1.123622302775048043e+00,-1.474153371273461133e+00,4.679004068691604346e+00,1.494574893639986080e-01,-1.236508636216460122e-02,-7.370766856367305664e-02,2.234817376159213206e-02,1.497405964750170640e-02
4.364550758068657110e+00,1.218357006229893180e+00,-1.620906375017032719e+00,4.806051242856321792e+00,1.484411908497009769e-01,-8.868496742237219621e-03,-8.104531875085163595e-02,2.318734194811826119e-02,1.433770493469000047e-02
4.333503952419544447e+00,1.236341033335295325e+00,-1.545199264954594254e+00,4.702449277461277610e+00,1.470521352990417085e-01,-7.806010655170725343e-03,-7.725996324772971269e-02,2.293320460463070531e-02,1.446318178422156646e-02
4.421589740609423558e+00,9.763775406288630609e-01,-1.468388268215688797e+00,4.759739524196817229e+00,1.536048960149926090e-01,-1.865571398403544079e-02,-7.341941341078443706e-02,2.191184575067642304e-02,1.546651113255743080e-02
4.390911832558588301e+00,1.101220148072803440e+00,-1.543016384377668970e+00,4.774948234774227807e+00,1.508939418700370183e-01,-1.359064235425222478e-02,-7.715081921888344851e-02,2.255830552322316343e-02,1.490776718753517201e-02
4.298349103598386733e+00,1.266448937324380353e+00,-1.473074377372967092e+00,4.598467422584614717e+00,1.453574796683847481e-01,-6.237528645315570941e-03,-7.365371886864835460e-02,2.272346299797164265e-02,1.454063391647087734e-02
3.946273347594956071e+00,2.197829055544596066e+00,-5.188224236567035019e-02,3.426130027901391983e+00,1.205123873405034018e-01,3.309017273798539605e-02,-2.594112118283517510e-03,6.195971567317576367e-02,6.708866254382111691e-03
